"BlockGroup","TractFIPS","NAME","TotHH","TotPerson","Adult18plus","Age18to34","Age35to49","Age50to64","Age65plus","CompMOS","pi_tract","pi_bg_given_tract","pi_overall_bg","f_person_18to34","f_person_35to49","f_person_50to64","f_person_65plus","listed_18to34","listed_35to49","listed_50to64","listed_65plus","total_listed","expected_resp_18to34","expected_resp_35to49","expected_resp_50to64","expected_resp_65plus","expected_total_resp","base_wt_18to34","base_wt_35to49","base_wt_50to64","base_wt_65plus","select_n_18to34","select_n_35to49","select_n_50to64","select_n_65plus","expected_comp_from_select_18to34","expected_comp_from_select_35to49","expected_comp_from_select_50to64","expected_comp_from_select_65plus","total_selected","expected_total_comp_from_select"
"261635157001","26163515700","Block Group 1; Census Tract 5157; Wayne County; Michigan",1429,1766,1663,551,278,358,476,7.40969438159498,0.36295156651525,0.379030231524614,0.137569616288496,0.0321807838806713,0.0356525065586663,0.0308651307894367,0.0318669974731911,17.7316119182499,9.91139682330922,11.0497168226183,15.168690797239,53.8614163614164,6.20606417138745,4.46012857048915,5.52485841130916,9.85964901820532,26.0507001713911,225.8816,203.886,235.51,228.1058,19,10,11,15,6.65,4.5,5.5,9.75,55,26.4
"261635167003","26163516700","Block Group 3; Census Tract 5167; Wayne County; Michigan",787,1254,1090,269,226,298,297,4.86671840249206,0.215538781207106,0.419211343250602,0.0903563019924284,0.0489960079452781,0.0542817881967969,0.0469928948592082,0.0485182606855772,13.1799261372798,12.2676841324761,14.003882668044,14.4099234236164,53.8614163614164,4.61297414804793,5.52045785961424,7.00194133402202,9.36645022535067,26.5018235670349,225.8816,203.886,235.51,228.1058,14,12,14,14,4.9,5.4,7,9.1,54,26.4
"261635175002","26163517500","Block Group 2; Census Tract 5175; Wayne County; Michigan",1205,1392,1282,456,178,324,324,5.68792490210723,0.208036047229346,0.50761855762153,0.105602958227845,0.0419221029847973,0.0464447372432182,0.0402081936969589,0.0415133315223497,19.1164789610676,8.26716322929284,13.0274547578147,13.4503194132413,53.8614163614164,6.69076763637365,3.72022345318178,6.51372737890734,8.74270761860684,25.6674260870696,225.8816,203.886,235.51,228.1058,20,8,13,13,7,3.6,6.5,8.45,54,25.55
"261635203001","26163520300","Block Group 1; Census Tract 5203; Wayne County; Michigan",575,652,584,291,86,115,92,2.60171348540582,0.207764287858277,0.232493491011117,0.0483038445916093,0.0916510502995446,0.101538535668666,0.0879040630263752,0.0907573848772877,26.6704556371675,8.73231406750527,10.1089672480331,8.34967940871047,53.8614163614164,9.33465947300862,3.92954133037737,5.05448362401657,5.42729161566181,23.7459760430644,225.8816,203.886,235.51,228.1058,28,9,10,8,9.8,4.05,5,5.2,55,24.05
"261635218001","26163521800","Block Group 1; Census Tract 5218; Wayne County; Michigan",901,1466,1179,282,207,249,441,5.25430824911296,0.097552359445135,1,0.097552359445135,0.0453817633474754,0.0502776321853834,0.0435264121088238,0.0449392576416255,12.797657263988,10.4074698623744,10.8380766150971,19.8182126199568,53.8614163614164,4.47918004239582,4.68336143806847,5.41903830754856,12.8818382029719,27.4634179909848,225.8816,203.886,235.51,228.1058,13,10,11,19,4.55,4.5,5.5,12.35,53,26.9
"261635233003","26163523300","Block Group 3; Census Tract 5233; Wayne County; Michigan",330,934,646,277,165,136,68,2.9111593956898,0.169917143234334,0.318090733621464,0.0540490687462726,0.0819088689781039,0.0907453497491954,0.0785601731517322,0.08111019701807,22.6887567069348,14.9729827086172,10.6841835486356,5.51549339722876,53.8614163614164,7.94106484742717,6.73784221887776,5.34209177431779,3.58507070819869,23.6060695488214,225.8816,203.886,235.51,228.1058,24,15,10,5,8.4,6.75,5,3.25,54,23.4
"261635242001","26163524200","Block Group 1; Census Tract 5242; Wayne County; Michigan",547,1593,1070,430,347,182,111,4.86499091286597,0.242871048379584,0.371902002053403,0.0903242291331761,0.0490134057363452,0.0543010628938467,0.0470095813730832,0.0485354888353335,21.0757644666284,18.8424688241648,8.55574380990114,5.38743926072202,53.8614163614164,7.37651756331995,8.47911097087416,4.27787190495057,3.50183551946931,23.635335958614,225.8816,203.886,235.51,228.1058,22,19,8,5,7.7,8.55,4,3.25,54,23.5
"261635257004","26163525700","Block Group 4; Census Tract 5257; Wayne County; Michigan",433,1368,889,298,312,191,88,4.0463339409554,0.245067166423462,0.306548237158246,0.0751249078524789,0.0589298305566027,0.0652872900241032,0.0565205911165313,0.0583552211905804,17.5610895058676,20.3696344875202,10.7954329032575,5.13525946477108,53.8614163614163,6.14638132705366,9.16633551938408,5.39771645162874,3.3379186521012,24.0483519501677,225.8816,203.886,235.51,228.1058,18,20,11,5,6.3,9,5.5,3.25,54,24.05
"261635264001","26163526400","Block Group 1; Census Tract 5264; Wayne County; Michigan",248,742,506,201,144,97,64,2.28856742000288,0.08079120655573,0.525922616507492,0.0424899227425868,0.104191718990578,0.115432114967885,0.0999320291806808,0.103175772787637,20.9425355171062,16.6222245553754,9.69340683052604,6.60324945840876,53.8614163614164,7.32988743098716,7.48000104991893,4.84670341526302,4.29211214796569,23.9487040441348,225.8816,203.886,235.51,228.1058,22,16,9,6,7.7,7.2,4.5,3.9,53,23.3
"261635308002","26163530800","Block Group 2; Census Tract 5308; Wayne County; Michigan",466,603,444,160,90,112,82,1.98480482341625,0.0905880173592751,0.406789076612739,0.0368502159337583,0.120137643108662,0.133098314968234,0.115226033058526,0.118966212369933,19.2220228973859,11.9788483471411,12.9053157025549,9.7552294143345,53.8614163614164,6.72770801408505,5.3904817562135,6.45265785127745,6.34089911931743,24.9117467408934,225.8816,203.886,235.51,228.1058,20,12,13,9,7,5.4,6.5,5.85,54,24.75
