"Tract","NAME","TotHH","TotPerson","Age18to34","Age35to49","Age50to64","Age65plus","AgeUnder18","Adult18plus","CompMOS","nBGs"
"26163536900","Census Tract 5369; Wayne County; Michigan",1384,3374,796,613,592,417,956,2418,10.8723449418641,2
"26163537000","Census Tract 5370; Wayne County; Michigan",1497,3334,810,549,541,481,953,2381,10.6844436548893,3
"26163537100","Census Tract 5371; Wayne County; Michigan",972,1946,443,393,352,244,514,1432,6.45305994944857,2
"26163537200","Census Tract 5372; Wayne County; Michigan",350,583,122,131,126,71,133,450,2.02889008554115,1
"26163537300","Census Tract 5373; Wayne County; Michigan",1069,1987,433,385,397,296,476,1511,6.78859043630415,3
"26163537500","Census Tract 5375; Wayne County; Michigan",1170,2714,643,477,473,395,726,1988,8.92622663680156,3
"26163537600","Census Tract 5376; Wayne County; Michigan",1418,3365,756,587,653,526,843,2522,11.3045995685894,3
"26163537700","Census Tract 5377; Wayne County; Michigan",1420,2874,710,512,555,388,709,2165,9.71199979654642,3
"26163537800","Census Tract 5378; Wayne County; Michigan",734,1545,380,292,266,187,420,1125,5.0637288972277,2
"26163538100","Census Tract 5381; Wayne County; Michigan",1020,2136,425,393,481,504,333,1803,8.06094158535478,2
"26163538200","Census Tract 5382; Wayne County; Michigan",769,1972,322,363,418,521,348,1624,7.26483168852823,2
"26163538300","Census Tract 5383; Wayne County; Michigan",1738,2162,595,371,544,262,390,1772,7.91223818029229,2
"26163538400","Census Tract 5384; Wayne County; Michigan",1378,3330,698,619,677,713,623,2707,12.1264798577802,2
"26163538500","Census Tract 5385; Wayne County; Michigan",2401,5184,1260,900,944,839,1241,3943,17.6788152260359,4
"26163538600","Census Tract 5386; Wayne County; Michigan",1958,4758,1097,828,943,751,1139,3619,16.2140277204398,4
"26163538700","Census Tract 5387; Wayne County; Michigan",1706,3823,815,650,678,768,912,2911,13.0418583734107,2
"26163538800","Census Tract 5388; Wayne County; Michigan",678,1549,365,265,321,268,330,1219,5.45352959215759,1
"26163538900","Census Tract 5389; Wayne County; Michigan",1618,3465,783,576,682,745,679,2786,12.4533973253029,2
"26163539000","Census Tract 5390; Wayne County; Michigan",1217,2769,608,524,529,400,708,2061,9.26150066928857,2
"26163539100","Census Tract 5391; Wayne County; Michigan",804,1788,391,298,351,322,426,1362,6.09460467603024,1
"26163539200","Census Tract 5392; Wayne County; Michigan",2313,4863,976,868,1062,1002,955,3908,17.4801899013964,3
"26163539300","Census Tract 5393; Wayne County; Michigan",1586,3793,788,700,771,686,848,2945,13.2029671874642,2
"26163539400","Census Tract 5394; Wayne County; Michigan",1434,3707,838,630,663,688,888,2819,12.631181584385,3
"26163539500","Census Tract 5395; Wayne County; Michigan",1355,2921,519,516,563,781,542,2379,10.6428964330359,3
"26163539600","Census Tract 5396; Wayne County; Michigan",1317,3197,720,564,614,541,758,2439,10.9325767949,2
"26163539700","Census Tract 5397; Wayne County; Michigan",1020,2072,424,338,449,464,397,1675,7.47552333771268,1
"26163540100","Census Tract 5401; Wayne County; Michigan",1397,3201,745,538,557,521,840,2361,10.5860254526775,3
"26163540200","Census Tract 5402; Wayne County; Michigan",1476,3183,826,524,588,384,861,2322,10.4069853109098,3
"26163540300","Census Tract 5403; Wayne County; Michigan",1608,3746,883,614,642,631,976,2770,12.4128735388752,3
"26163540400","Census Tract 5404; Wayne County; Michigan",1252,2632,588,458,543,437,606,2026,9.07089929031384,2
"26163540500","Census Tract 5405; Wayne County; Michigan",1389,3466,748,660,610,545,903,2563,11.5279382052021,3
"26163540600","Census Tract 5406; Wayne County; Michigan",1371,3274,720,584,560,552,858,2416,10.8496044378337,2
"26163540700","Census Tract 5407; Wayne County; Michigan",1313,3193,776,607,556,461,793,2400,10.794407966042,3
"26163540800","Census Tract 5408; Wayne County; Michigan",920,2110,464,414,389,360,483,1627,7.31466955060989,2
"26163540900","Census Tract 5409; Wayne County; Michigan",1439,3420,729,600,642,670,779,2641,11.8334079038783,3
"26163541000","Census Tract 5410; Wayne County; Michigan",1732,3775,867,635,641,586,1046,2729,12.2435157221581,3
"26163541100","Census Tract 5411; Wayne County; Michigan",1238,2921,736,539,475,316,855,2066,9.30419995115708,2
"26163541200","Census Tract 5412; Wayne County; Michigan",1124,2046,535,356,441,231,483,1563,6.99979118857554,2
"26163541300","Census Tract 5413; Wayne County; Michigan",1119,2664,710,540,463,207,744,1920,8.66519841506559,2
"26163541400","Census Tract 5414; Wayne County; Michigan",1185,2642,603,448,582,392,617,2025,9.05657993131584,3
"26163541500","Census Tract 5415; Wayne County; Michigan",1794,3625,795,621,768,713,728,2897,12.952113257981,2
"26163541700","Census Tract 5417; Wayne County; Michigan",1524,2538,635,485,489,445,484,2054,9.21718166317796,3
"26163541800","Census Tract 5418; Wayne County; Michigan",1267,2533,587,481,510,388,567,1966,8.82434629140637,2
"26163542100","Census Tract 5421; Wayne County; Michigan",1957,4547,985,884,804,746,1128,3419,15.3807278897657,2
"26163542200","Census Tract 5422; Wayne County; Michigan",1637,3644,811,665,619,660,889,2755,12.3737358516074,2
"26163542300","Census Tract 5423; Wayne County; Michigan",1046,2255,578,435,429,298,515,1740,7.82039793736151,2
"26163542400","Census Tract 5424; Wayne County; Michigan",1112,2651,644,510,390,379,728,1923,8.66993935085844,2
"26163542500","Census Tract 5425; Wayne County; Michigan",1032,2475,571,442,493,466,503,1972,8.83199217428139,2
"26163542600","Census Tract 5426; Wayne County; Michigan",1376,3168,744,585,521,493,825,2343,10.5365095236075,2
"26163542900","Census Tract 5429; Wayne County; Michigan",1362,3319,717,609,683,673,637,2682,12.0116671056366,3
"26163543000","Census Tract 5430; Wayne County; Michigan",709,1778,349,311,343,410,365,1413,6.32424473814182,2
"26163543100","Census Tract 5431; Wayne County; Michigan",966,2455,487,427,489,512,540,1915,8.57122180146541,2
"26163543200","Census Tract 5432; Wayne County; Michigan",1187,3008,739,587,524,441,717,2291,10.3089573570861,3
"26163543300","Census Tract 5433; Wayne County; Michigan",1412,3315,753,600,592,571,799,2516,11.2933439172256,4
"26163543400","Census Tract 5434; Wayne County; Michigan",1386,3132,711,591,588,454,788,2344,10.5333591838969,3
"26163543500","Census Tract 5435; Wayne County; Michigan",542,1210,319,212,183,108,388,822,3.70254261485028,1
"26163543700","Census Tract 5437; Wayne County; Michigan",703,1785,441,329,274,113,628,1157,5.22481380978743,2
"26163543900","Census Tract 5439; Wayne County; Michigan",487,785,219,132,193,57,184,601,2.68633725470432,1
"26163544000","Census Tract 5440; Wayne County; Michigan",1250,2534,694,473,568,250,549,1985,8.90009979263822,1
"26163544100","Census Tract 5441; Wayne County; Michigan",1059,2222,630,430,350,210,602,1620,7.30485540398166,2
"26163544200","Census Tract 5442; Wayne County; Michigan",1103,2005,440,311,366,371,517,1488,6.65379776697622,2
"26163544300","Census Tract 5443; Wayne County; Michigan",1320,2428,561,490,496,248,633,1795,8.08018831103782,2
"26163544800","Census Tract 5448; Wayne County; Michigan",886,1775,423,372,334,160,486,1289,5.81683920583502,2
"26163545100","Census Tract 5451; Wayne County; Michigan",530,1026,246,196,181,130,273,753,3.38884349302801,2
"26163545200","Census Tract 5452; Wayne County; Michigan",1234,2641,620,537,396,347,741,1900,8.58130678668704,4
"26163545500","Census Tract 5455; Wayne County; Michigan",1543,3878,993,716,576,305,1288,2590,11.6907296392678,3
"26163545600","Census Tract 5456; Wayne County; Michigan",1684,5319,1384,900,706,336,1993,3326,15.0120854906093,3
"26163545700","Census Tract 5457; Wayne County; Michigan",1106,2925,751,584,428,224,938,1987,8.98842948270715,2
"26163545800","Census Tract 5458; Wayne County; Michigan",1859,5518,1405,1084,698,321,2010,3508,15.907791860739,3
"26163545900","Census Tract 5459; Wayne County; Michigan",1637,3758,1018,681,592,239,1228,2530,11.4083407805043,2
"26163546000","Census Tract 5460; Wayne County; Michigan",1464,2925,748,554,450,256,917,2008,9.06170721108185,2
"26163546100","Census Tract 5461; Wayne County; Michigan",1626,3952,1021,687,646,291,1307,2645,11.9083043033866,2
"26163546201","Census Tract 5462.01; Wayne County; Michigan",1245,3067,773,645,540,256,853,2214,10.0008618911627,2
"26163546301","Census Tract 5463.01; Wayne County; Michigan",720,1792,408,345,366,215,458,1334,5.99499730819779,1
"26163546600","Census Tract 5466; Wayne County; Michigan",873,1996,525,349,354,179,589,1407,6.32381183883376,2
"26163546700","Census Tract 5467; Wayne County; Michigan",1299,2816,718,481,529,363,725,2091,9.37537385566141,2
"26163547000","Census Tract 5470; Wayne County; Michigan",1730,3512,753,595,679,559,926,2586,11.5856243069623,3
"26163547100","Census Tract 5471; Wayne County; Michigan",2183,4714,1220,828,769,494,1403,3311,14.893068486889,4
"26163547200","Census Tract 5472; Wayne County; Michigan",1737,3982,981,620,635,517,1229,2753,12.3466665421429,4
"26163985100","Census Tract 9851; Wayne County; Michigan",127,154,81,33,16,6,18,136,0.614691350545718,1
"26163985300","Census Tract 9853; Wayne County; Michigan",246,220,120,50,31,7,12,208,0.938803597673059,1
