"BlockGroup","TractFIPS","NAME","TotHH","TotPerson","Age18to34","Age35to49","Age50to64","Age65plus","AgeUnder18","Adult18plus","CompMOS"
"261635279001","26163527900","Block Group 1; Census Tract 5279; Wayne County; Michigan",248,372,80,80,72,58,82,290,1.30653145699255
"261635279002","26163527900","Block Group 2; Census Tract 5279; Wayne County; Michigan",246,396,101,81,62,45,107,289,1.30495307855195
"261635279003","26163527900","Block Group 3; Census Tract 5279; Wayne County; Michigan",389,507,90,98,113,64,142,365,1.63948092340499
"261635279004","26163527900","Block Group 4; Census Tract 5279; Wayne County; Michigan",569,560,150,109,110,73,118,442,1.98577558987529
"261635301001","26163530100","Block Group 1; Census Tract 5301; Wayne County; Michigan",680,1055,223,199,295,155,183,872,3.89538848598908
"261635434001","26163543400","Block Group 1; Census Tract 5434; Wayne County; Michigan",571,1367,323,243,233,198,370,997,4.4791557235572
"261635433002","26163543300","Block Group 2; Census Tract 5433; Wayne County; Michigan",314,779,181,148,138,140,172,607,2.72691326367327
"261635433003","26163543300","Block Group 3; Census Tract 5433; Wayne County; Michigan",302,719,130,113,147,153,176,543,2.4246727392067
"261635433004","26163543300","Block Group 4; Census Tract 5433; Wayne County; Michigan",383,788,234,149,120,87,198,590,2.65767596594182
"261635434002","26163543400","Block Group 2; Census Tract 5434; Wayne County; Michigan",402,819,203,166,171,114,165,654,2.93873329390556
"261635434003","26163543400","Block Group 3; Census Tract 5434; Wayne County; Michigan",413,946,185,182,184,142,253,693,3.11547016643411
"261635435001","26163543500","Block Group 1; Census Tract 5435; Wayne County; Michigan",542,1210,319,212,183,108,388,822,3.70254261485028
"261635437001","26163543700","Block Group 1; Census Tract 5437; Wayne County; Michigan",266,632,150,118,126,44,194,438,1.97072158406368
"261635437002","26163543700","Block Group 2; Census Tract 5437; Wayne County; Michigan",437,1153,291,211,148,69,434,719,3.25409222572374
"261635439001","26163543900","Block Group 1; Census Tract 5439; Wayne County; Michigan",487,785,219,132,193,57,184,601,2.68633725470432
"261635440001","26163544000","Block Group 1; Census Tract 5440; Wayne County; Michigan",1250,2534,694,473,568,250,549,1985,8.90009979263822
"261635441001","26163544100","Block Group 1; Census Tract 5441; Wayne County; Michigan",381,868,176,174,141,148,229,639,2.88010977355902
"261635441002","26163544100","Block Group 2; Census Tract 5441; Wayne County; Michigan",678,1354,454,256,209,62,373,981,4.42474563042263
"261635442001","26163544200","Block Group 1; Census Tract 5442; Wayne County; Michigan",406,801,206,135,118,66,276,525,2.36449664504817
"261635442002","26163544200","Block Group 2; Census Tract 5442; Wayne County; Michigan",697,1204,234,176,248,305,241,963,4.28930112192805
"261635443001","26163544300","Block Group 1; Census Tract 5443; Wayne County; Michigan",582,1363,344,248,237,121,413,950,4.27607005115834
"261635443002","26163544300","Block Group 2; Census Tract 5443; Wayne County; Michigan",738,1065,217,242,259,127,220,845,3.80411825987948
"261635448001","26163544800","Block Group 1; Census Tract 5448; Wayne County; Michigan",386,746,184,156,146,71,189,557,2.51090979230434
"261635448002","26163544800","Block Group 2; Census Tract 5448; Wayne County; Michigan",500,1029,239,216,188,89,297,732,3.30592941353069
"261635451001","26163545100","Block Group 1; Census Tract 5451; Wayne County; Michigan",276,522,121,88,92,82,139,383,1.71741651061156
"261635451002","26163545100","Block Group 2; Census Tract 5451; Wayne County; Michigan",254,504,125,108,89,48,134,370,1.67142698241644
"261635452001","26163545200","Block Group 1; Census Tract 5452; Wayne County; Michigan",309,659,138,148,100,97,176,483,2.18668706978203
"261635452002","26163545200","Block Group 2; Census Tract 5452; Wayne County; Michigan",337,854,199,167,104,114,270,584,2.64144062183165
"261635452003","26163545200","Block Group 3; Census Tract 5452; Wayne County; Michigan",228,371,123,78,58,44,68,303,1.3662667841859
